
## PHerc Paris 4 hires-256 (ink/fiber-rich)  (256x256x256, 16.8 MB, atom=16^3, HF slope 0.50)

### target 16x  (q-knob proxy ~16)
  dz  |  ro   | ratio  |  PSNR | dPSNR | MS-SSIM |   GMSD  | HaarPSI | edgeMAE |  seam16
 0.40 | 0.375 | 15.96x | 32.07 | +0.00 |  0.9496 | 0.10840 |  0.9520 |  15.385 |   7.768
 0.40 | 0.400 | 15.96x | 32.03 | +0.00 |  0.9495 | 0.10895 |  0.9517 |  15.439 |   7.919
 0.40 | 0.450 | 15.96x | 31.86 | +0.00 |  0.9485 | 0.11050 |  0.9508 |  15.769 |   8.251
 0.40 | 0.500 | 15.96x | 31.59 | +0.00 |  0.9465 | 0.11261 |  0.9496 |  16.408 |   8.626
 0.45 | 0.300 | 16.04x | 32.27 | +0.00 |  0.9506 | 0.10575 |  0.9539 |  15.397 |   7.083
 0.45 | 0.375 | 16.04x | 32.34 | +0.00 |  0.9520 | 0.10586 |  0.9538 |  15.019 |   7.395
 0.45 | 0.400 | 16.04x | 32.31 | +0.00 |  0.9520 | 0.10633 |  0.9536 |  15.027 |   7.536
 0.45 | 0.450 | 16.04x | 32.19 | +0.00 |  0.9514 | 0.10748 |  0.9529 |  15.219 |   7.824
 0.45 | 0.500 | 16.04x | 31.97 | +0.00 |  0.9501 | 0.10913 |  0.9520 |  15.659 |   8.142
 0.50 | 0.300 | 16.00x | 32.46 | +0.00 |  0.9524 | 0.10399 |  0.9553 |  15.143 |   6.837
 0.50 | 0.375 | 16.00x | 32.55 | +0.00 |  0.9539 | 0.10395 |  0.9553 |  14.747 |   7.121
 0.50 | 0.400 | 16.00x | 32.54 | +0.00 |  0.9540 | 0.10416 |  0.9551 |  14.714 |   7.226
 0.50 | 0.450 | 16.00x | 32.45 | +0.00 |  0.9537 | 0.10506 |  0.9546 |  14.813 |   7.476
 0.50 | 0.500 | 16.00x | 32.28 | +0.00 |  0.9528 | 0.10634 |  0.9539 |  15.120 |   7.753  <-baseline
 0.55 | 0.300 | 16.04x | 32.58 | +0.30 |  0.9534 | 0.10300 |  0.9561 |  15.032 |   6.657
 0.55 | 0.375 | 16.04x | 32.68 | +0.41 |  0.9550 | 0.10272 |  0.9562 |  14.584 |   6.921
 0.55 | 0.400 | 16.04x | 32.68 | +0.40 |  0.9552 | 0.10289 |  0.9561 |  14.538 |   7.015
 0.55 | 0.450 | 16.04x | 32.62 | +0.34 |  0.9551 | 0.10350 |  0.9557 |  14.567 |   7.230
 0.55 | 0.500 | 16.04x | 32.48 | +0.21 |  0.9545 | 0.10456 |  0.9551 |  14.784 |   7.475
 0.60 | 0.300 | 15.93x | 32.72 | +0.45 |  0.9547 | 0.10173 |  0.9570 |  14.814 |   6.504
 0.60 | 0.375 | 15.93x | 32.82 | +0.55 |  0.9562 | 0.10143 |  0.9571 |  14.405 |   6.734
 0.60 | 0.400 | 15.93x | 32.82 | +0.54 |  0.9563 | 0.10154 |  0.9570 |  14.347 |   6.827
 0.60 | 0.450 | 15.93x | 32.78 | +0.50 |  0.9564 | 0.10203 |  0.9567 |  14.341 |   7.023
